Category,Product Group,Item Code,Item Name,OEMCode,HSNCode,Brand,Size,RSP,MRP,OSP,Vendor,CreateDate,LastModifiedDate,GST%,CESS
BOOKS,REFERENCE BOOKS,WP18667,STUTI AGARWAL:THE ADVENTURES OF YOUNG KALAM,"9789386228888, BBH23714",4901,HARPERCOLLINS,VN3021,159,199,199,HARPERCOLLINS,24.Jun.22,26.Sep.22,0,0
NON BOOKS,STATIONERY,WP20759,MAMORY LANE HARD BOUND NOTE BOOK-MED,"AN 84, BBH39837",21069099,MATRIX MARKETING,UNDEFINED,270,270,270,MATRIX MARKETING,20.Sep.22,23.Sep.22,18,0
NON BOOKS,STATIONERY,WP20760,MAMORY LANE HARD BOUND NOTE BOOK-SMALL,"AN 85, BBH39838",21069099,MATRIX MARKETING,UNDEFINED,210,210,210,MATRIX MARKETING,20.Sep.22,23.Sep.22,18,0
NON BOOKS,STATIONERY,WP20761,MAMORY LANE HARD BOUND NOTE BOOK-MIDI,"AN 86, BBH39839",21069099,MATRIX MARKETING,UNDEFINED,140,140,140,MATRIX MARKETING,20.Sep.22,23.Sep.22,18,0
NON BOOKS,STATIONERY,WP20762,MAMORY LANE HB WIRO NOTA BOOK- MIDI,"AN 82, BBH39840",21069099,MATRIX MARKETING,UNDEFINED,150,150,150,MATRIX MARKETING,20.Sep.22,23.Sep.22,18,0
BOOKS,CHILDREN: ACTIVITY BOOKS,WP00001,FRIENDLY NUMBERS SERIES,BBH00002,4901,HARPERCOLLINS,UNDEFINED,19,75,75,HARPERCOLLINS,18.Jan.22,5.Sep.22,0,0
BOOKS,CHILDREN: ACTIVITY BOOKS,WP00002,STEP-BY-STEP:KIDS CRAFT SERIES,BBH00005,4901,ABC,UNDEFINED,49,125,125,ABC,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: PRE-SCHOOL,WP00003,HITORI SERIES,BBH00006,4901,ABC,UNDEFINED,90,99,99,ABC,18.Jan.22,20.Jun.22,0,0
BOOKS,DICTIONARY & THESAURUS,WP00004,CONCISE ENGLISH HINDI DICTIONARY (H/B),BBH00010,4901,ABC,UNDEFINED,127,150,150,ABC,18.Jan.22,18.Jan.22,0,0
BOOKS,LITERATURE & FICTION,WP19454,BANDA RUPAYA,"9788184984606,BBH00180",4901,MEHTA,VN1700,276,345,345,MEHTA,28.Jul.22,28.Jul.22,0,0
BOOKS,BUSINESS & MANAGEMENT,WP00005,"SMART TRUST, COVEY AND LINK","9781451652178,BBH00200",4901,SIMON & SCHUSTER,UNDEFINED,479,599,599,SIMON N SCHUSTER PUBLISHER INDIA,18.Jan.22,5.Sep.22,0,0
BOOKS,FILM-CINEMA,WP00006,THE FLIM BOOK,"9781405363167,BBH00203",4901,ABC,VN8010,849,999,999,ABC,18.Jan.22,27.May.22,0,0
BOOKS,BUSINESS & MANAGEMENT,WP14801,ECOLOGICAL INTELLIGENCE,"9780141039091,BBH00211",4901,ABC,UNDEFINED,297,350,350,ABC,25.Apr.22,25.Apr.22,0,0
BOOKS,RELIGION/SPIRITUALITY,WP00007,SHRI RAMA PARATHANA,"8901563060796,BBH00221",4901,DURGA,UNDEFINED,149,495,495,DURGA,18.Jan.22,18.Jan.22,0,0
BOOKS,COMICS & GRAPHIC NOVELS,WP00008,ARCHIE LIBRARY (100 TITLES),"762816469500,BBH00225",4901,ABD,VN0182,200,250,250,ABD,18.Jan.22,18.Jan.22,0,0
BOOKS,COMICS & GRAPHIC NOVELS,WP00009,ARCHIE SINGLES DIGEST (100 TITLES),BBH00226,4901,ABD,UNDEFINED,108,135,135,ABD,18.Jan.22,6.Jun.22,0,0
BOOKS,INDIA-REFERENCE,WP00010,LOVE TEACHINGS OF KAMA SUTRA,"9781569247792,BBH00227",4901,ABD,VN0931,600,750,750,ABD,18.Jan.22,18.Jan.22,0,0
BOOKS,LITERATURE & FICTION,WP00011,MAHESH BHATT:ALL THAT COULD HAVE BEEN,"9788193071014,BBH00229",4901,HARPERCOLLINS,UNDEFINED,165,195,195,HARPERCOLLINS,18.Jan.22,5.Sep.22,0,0
BOOKS,BUSINESS & MANAGEMENT,WP00012,IN SEARCH OF EXCELLENCE,"9781861977168,BBH00231",4901,ADARSH,VN1052,316,395,395,ADARSH,18.Jan.22,18.Jan.22,0,0
BOOKS,NON-FICTION,WP00013,STATE BUILDING,"9781861977045,BBH00232",4901,ADARSH,VN1053,180,225,225,ADARSH,18.Jan.22,18.Jan.22,0,0
BOOKS,LITERATURE & FICTION,WP00014,GIRL WHO KICKED THE HORNETS NEST,"9781849162746,BBH00234",4901,ADARSH,GT9939,320,399,399,ADARSH,18.Jan.22,18.Jan.22,0,0
BOOKS,LITERATURE & FICTION,WP00015,KEN FOLLETT:WORLD WITHOUT END,"9781447218708,BBH00236",4901,ADARSH,GT9312,320,399,399,ADARSH,18.Jan.22,18.Jan.22,0,0
BOOKS,BUSINESS & MANAGEMENT,WP00016,"GANDHI, CEO: 14 PRINCIPLES TO GUIDE & INSPIRE MODE","9781402797774,BBH00238",4901,ADARSH,GT9838,360,450,450,ADARSH,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP00017,GERONIMO STILTON:HUNT FOR THE GOLDEN BOOK,"9789351032168,BBH00245",4901,ALKA,VN6119,520,650,650,ALKA,18.Jan.22,23.Jun.22,0,0
BOOKS,CHILDREN: ACTIVITY BOOKS,WP00018,ANA:I CAN CUT-N-PASTE SCISSOR SKILLS SERIES,BBH00246,4901,ANA,UNDEFINED,59,99,99,ANA,18.Jan.22,18.Jan.22,0,0
BOOKS,ANTIQUES & COLLECTIBLES,WP00019,FLOATING GLOBE,BBH00268,4901,BG,UNDEFINED,2850,2850,2850,BG,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP00020,PERCY JACKSON (5) :THE LAST OLYMPIAN,"9780141346885,BBH00272",4901,BLUEBERRY,VN0456,320,399,399,BLUEBERRY,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP00021,PERCY JACKSON (4) :BATTLE OF LABYRINTH (NEW),"9780141346830,BBH00273",4901,BLUEBERRY,VN1452,320,399,399,BLUEBERRY,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP00022,PERCY JACKSON (3) :THE TITANS CURSE (NEW),"9780141346816,BBH00274",4901,BLUEBERRY,VN0455,320,399,399,BLUEBERRY,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP00023,PERCY JACKSON (2) :THE SEA OF MONSTERS (NEW),"9780141346137,BBH00275",4901,BLUEBERRY,VN0454,280,350,350,BLUEBERRY,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP14802,HEROES OF OLYMPUS: THE SON OF NEPTUNE,"9780141335735,BBH00277",4901,BLUEBERRY,VN6565,359,399,399,BLUEBERRY,25.Apr.22,21.Sep.22,0,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP00024,ZZZ ENID BLYTON STAR READS SERIES (NEW),BBH00281,4901,DEEP,UNDEFINED,149,199,199,DEEP,18.Jan.22,18.Jan.22,0,0
BOOKS,NON-FICTION,WP00025,ALL THAT MATTERS:PHILOSOPHY,"9781444155839,BBH00288",4901,DEEP,UNDEFINED,119,250,250,DEEP,18.Jan.22,18.Jan.22,0,0
BOOKS,LITERATURE & FICTION,WP00026,SUDEEP NAGARKAR:YOURE TRENDING IN MY DREAMS,"9788184006711,BBH00297",4901,DP,VN1807,158,175,175,DP,18.Jan.22,18.Jan.22,0,0
BOOKS,LITERATURE & FICTION,WP00027,SCOTT TUROW:INNOCENT,"9780330520522,BBH00301",4901,PAN MACMILLAN,MK0035,319,399,399,PAN MACMILLAN,18.Jan.22,5.Sep.22,0,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP00028,DIARY OF A WIMPY KID (8 COPY SLIPCASE),"9780141358000,BBH00303",4901,DP,UNDEFINED,1785,2100,2100,DP,18.Jan.22,18.Jan.22,0,0
BOOKS,NON-FICTION,WP00029,RED SARI,"9789351941033,BBH00305",4901,DURGA,VN0662,316,395,395,DURGA,18.Jan.22,18.Jan.22,0,0
BOOKS,NON-FICTION,WP14803,FREEDOM AT MIDNIGHT,"9780008247782,BBH00306",4901,DURGA,GX3341,517,575,575,DURGA,25.Apr.22,25.Apr.22,0,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP00030,GOOSEBUMPES SERIES,BBH00317,4901,FUTURE,VN1692,200,250,250,FUTURE,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP00031,DORK DIARIES SERIES,BBH00318,4901,FUTURE,UNDEFINED,239,299,299,FUTURE,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP00032,FAMOUS FIVE COMPLETE SERIES (21 TITLES),BBH00319,4901,FUTURE,UNDEFINED,159,199,199,FUTURE,18.Jan.22,9.Jul.22,0,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP00033,NAUGHTIEST GIRL COMPLETE SERIES (10 TITLES),BBH00325,4901,FUTURE,UNDEFINED,148,165,165,FUTURE,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP00034,SECRET SEVEN COMPLETE SERIES (17 TITLES),BBH00326,4901,FUTURE,VN3776,140,175,175,FUTURE,18.Jan.22,22.Aug.22,0,0
