Category,Product Group,Item Code,Item Name,OEMCode,BBH Code,ISBN,HSNCode,Brand,Size,RSP,MRP,OSP,Vendor,CreateDate,LastModifiedDate,GST%,CESS
BOOKS,REFERENCE BOOKS,WP18667,STUTI AGARWAL:THE ADVENTURES OF YOUNG KALAM,"9789386228888, BBH23714",BBH23714,9789386228888,4901.0,HARPERCOLLINS,VN3021,159.0,199.0,199.0,HARPERCOLLINS,24.Jun.22,26.Sep.22,0,0
NON BOOKS,STATIONERY,WP20759,MAMORY LANE HARD BOUND NOTE BOOK-MED,"AN 84, BBH39837",BBH39837,AN 84,21069099.0,MATRIX MARKETING,UNDEFINED,270.0,270.0,270.0,MATRIX MARKETING,20.Sep.22,23.Sep.22,18,0
NON BOOKS,STATIONERY,WP20760,MAMORY LANE HARD BOUND NOTE BOOK-SMALL,"AN 85, BBH39838",BBH39838,AN 85,21069099.0,MATRIX MARKETING,UNDEFINED,210.0,210.0,210.0,MATRIX MARKETING,20.Sep.22,23.Sep.22,18,0
NON BOOKS,STATIONERY,WP20761,MAMORY LANE HARD BOUND NOTE BOOK-MIDI,"AN 86, BBH39839",BBH39839,AN 86,21069099.0,MATRIX MARKETING,UNDEFINED,140.0,140.0,140.0,MATRIX MARKETING,20.Sep.22,23.Sep.22,18,0
NON BOOKS,STATIONERY,WP20762,MAMORY LANE HB WIRO NOTA BOOK- MIDI,"AN 82, BBH39840",BBH39840,AN 82,21069099.0,MATRIX MARKETING,UNDEFINED,150.0,150.0,150.0,MATRIX MARKETING,20.Sep.22,23.Sep.22,18,0
BOOKS,CHILDREN: ACTIVITY BOOKS,WP00001,FRIENDLY NUMBERS SERIES,BBH00002,BBH00002,BBH00002,4901.0,HARPERCOLLINS,UNDEFINED,19.0,75.0,75.0,HARPERCOLLINS,18.Jan.22,5.Sep.22,0,0
BOOKS,CHILDREN: ACTIVITY BOOKS,WP00002,STEP-BY-STEP:KIDS CRAFT SERIES,BBH00005,BBH00005,BBH00005,4901.0,ABC,UNDEFINED,49.0,125.0,125.0,ABC,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: PRE-SCHOOL,WP00003,HITORI SERIES,BBH00006,BBH00006,BBH00006,4901.0,ABC,UNDEFINED,90.0,99.0,99.0,ABC,18.Jan.22,20.Jun.22,0,0
BOOKS,DICTIONARY & THESAURUS,WP00004,CONCISE ENGLISH HINDI DICTIONARY (H/B),BBH00010,BBH00010,BBH00010,4901.0,ABC,UNDEFINED,127.0,150.0,150.0,ABC,18.Jan.22,18.Jan.22,0,0
BOOKS,LITERATURE & FICTION,WP19454,BANDA RUPAYA,"9788184984606,BBH00180",BBH00180,9788184984606,4901.0,MEHTA,VN1700,276.0,345.0,345.0,MEHTA,28.Jul.22,28.Jul.22,0,0
